Region Name,State name,State and County,Region Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Price change % 2015-19
Alpena County,Michigan,"Alpena County, Michigan",26007,100,104.91,107.37,111.27,114.78,116.96,118.04,117.99,113.12,105.12,99.27,92.81,89.84,89.99,92.74,94.33,95.99,102.31,103.86,108.31,112.48,0.1678887211559199
Amador County,California,"Amador County, California",6005,100,111.27,124.04,136.32,160.49,194.76,210.8,200.92,176.79,145.42,124.15,108.43,103.97,113.77,127.18,139.3,153.29,164.17,173.37,180.54,185.17,0.41956282434345016
Amelia County,Virginia,"Amelia County, Virginia",51007,100,106.24,108.04,112.48,123.24,142.3,158.21,167.06,169.43,159.08,145.9,135.71,134.18,133.54,132.69,142.58,140.84,150.3,153.28,160.8,164.96,0.211847162559349
Amherst County,Virginia,"Amherst County, Virginia",51009,100,105.58,108.68,110.97,116.75,127.29,141.97,150.45,153.18,150.12,145.65,142.39,140.33,141.47,136.87,140.68,143.01,148.99,151.03,157.09,162.19,0.14773142397895822
Anderson County,South Carolina,"Anderson County, South Carolina",45007,100,105.26,107.89,109.81,110.74,115.27,119.91,125.52,129.25,125.48,119.97,115.34,114.43,113.97,116.14,119.88,123.81,129.65,137.64,145.41,151.11,0.2520234200103324
Anderson County,Kansas,"Anderson County, Kansas",20003,100,103.44,106.21,106.33,114.77,119.65,117.09,120.09,121.42,118.24,119.21,110.68,110.08,116.98,121.54,112.23,122.84,117.26,113.42,136.11,139.08,0.11987822938950154
Anderson County,Texas,"Anderson County, Texas",48001,100,103.23,105.45,110.8,112.77,115.48,129.92,137.7,137.47,141.71,139.34,135.33,139.73,141.64,140.42,146.73,152.37,156.5,160.3,178.2,183.86,0.2690499928785073
Anderson County,Tennessee,"Anderson County, Tennessee",47001,100,104.69,107.29,109.98,114.36,123.28,130.64,137.03,140.41,136.83,135.38,131.76,126.24,129.41,132.13,130.7,133.9,139.15,149.8,157.1,166.23,0.18898054945886633
Anderson County,Kentucky,"Anderson County, Kentucky",21005,100,104.74,106.96,109.7,115.69,120.69,121.39,124.86,124.25,120.98,118.97,117.52,116.69,115.3,117.04,119.42,120.48,128.45,135.81,138.78,145.72,0.18574846206425155
Andrew County,Missouri,"Andrew County, Missouri",29003,100,105.0,110.65,111.45,119.32,123.12,128.97,130.73,128.16,130.14,123.8,122.27,123.22,124.47,124.9,128.93,137.01,140.28,148.81,144.31,157.94,0.15540432345876698
Andrews County,Texas,"Andrews County, Texas",48003,100,96.5,97.52,104.08,105.5,117.35,142.5,165.42,182.44,179.71,184.69,184.66,190.13,205.85,218.03,231.84,236.64,235.89,241.17,263.82,278.09,0.2100169701417236
Androscoggin County,Maine,"Androscoggin County, Maine",23001,100,108.62,116.73,123.6,137.53,155.87,164.09,164.2,161.65,149.32,144.41,139.77,135.88,137.22,138.09,138.5,143.6,150.72,160.81,168.84,178.77,0.22268086030849443
Angelina County,Texas,"Angelina County, Texas",48005,100,102.82,103.81,105.83,108.73,112.47,121.24,125.09,129.36,130.63,131.93,134.73,135.06,136.33,137.54,141.89,146.78,146.15,154.05,159.19,166.59,0.15740875381707142
Anne Arundel County,Maryland,"Anne Arundel County, Maryland",24003,100,108.01,119.53,130.08,153.5,187.44,209.56,211.01,201.41,182.36,173.17,167.14,164.29,167.81,172.63,176.05,180.13,184.86,190.88,195.39,202.75,0.13184266929270683
Anoka County,Minnesota,"Anoka County, Minnesota",27003,100,110.18,119.8,126.0,137.91,148.66,153.66,149.79,137.34,123.46,114.37,105.14,102.59,109.98,119.0,124.12,131.52,140.87,150.78,156.92,162.31,0.31865546218487384
Antelope County,Nebraska,"Antelope County, Nebraska",31003,100,107.23,108.76,108.07,105.22,119.05,121.65,116.33,124.94,114.2,127.66,129.3,129.39,134.58,146.64,146.48,167.38,158.29,155.09,167.63,173.43,0.14313966175668313
Antrim County,Michigan,"Antrim County, Michigan",26009,100,104.73,107.82,111.83,117.86,126.28,127.92,124.0,120.27,112.59,102.51,97.27,93.18,98.95,101.74,107.79,110.33,119.18,127.64,135.17,138.52,0.3285826616866523
Apache County,Arizona,"Apache County, Arizona",4001,100,104.63,104.07,113.56,120.13,133.99,165.89,179.48,173.62,167.54,135.31,123.35,113.27,124.1,130.61,137.95,136.56,151.11,151.93,164.11,169.85,0.2564887834009646
Appling County,Georgia,"Appling County, Georgia",13001,100,100.8,102.76,103.13,113.02,121.97,121.97,136.19,132.07,128.95,122.45,112.62,111.42,113.54,113.74,116.8,135.72,120.15,123.67,126.5,135.25,0.11218568665377182
