State,County,County and State,2015 Population,2019 Population,Net Migration 2015-19,% Change Due to Migration
Hawaii,Honolulu County,"Honolulu County, Hawaii",991064,974563,-13078.0,-0.013195918729769218
Hawaii,Kalawao County,"Kalawao County, Hawaii",88,86,-2.0,-0.022727272727272728
Hawaii,Kauai County,"Kauai County, Hawaii",71021,72293,-185.0,-0.0026048633502766786
Hawaii,Maui County,"Maui County, Hawaii",163904,167417,38.0,0.00023184303006638032
Idaho,Ada County,"Ada County, Idaho",432862,481587,4908.0,0.011338486630843086
Idaho,Adams County,"Adams County, Idaho",3891,4294,371.0,0.09534823952711385
Idaho,Bannock County,"Bannock County, Idaho",84184,87808,1030.0,0.0122351040577782
Idaho,Bear Lake County,"Bear Lake County, Idaho",5879,6125,-2.0,-0.0003401939105290015
Idaho,Benewah County,"Benewah County, Idaho",8996,9298,-92.0,-0.010226767452200978
Idaho,Bingham County,"Bingham County, Idaho",45057,46811,-1147.0,-0.02545664380673369
Idaho,Blaine County,"Blaine County, Idaho",21636,23021,152.0,0.007025328156775744
Idaho,Boise County,"Boise County, Idaho",6963,7831,289.0,0.04150509837713629
Idaho,Bonner County,"Bonner County, Idaho",41600,45739,786.0,0.01889423076923077
Idaho,Bonneville County,"Bonneville County, Idaho",109849,119062,1791.0,0.016304199400995912
Idaho,Boundary County,"Boundary County, Idaho",11299,12245,466.0,0.04124258783963183
Idaho,Butte County,"Butte County, Idaho",2566,2597,-8.0,-0.003117692907248636
Idaho,Camas County,"Camas County, Idaho",1070,1106,-88.0,-0.08224299065420561
Idaho,Canyon County,"Canyon County, Idaho",206842,229849,4578.0,0.02213283569101053
Idaho,Caribou County,"Caribou County, Idaho",6733,7155,-39.0,-0.005792365958710828
Idaho,Cassia County,"Cassia County, Idaho",23499,24030,66.0,0.0028086301544746587
Idaho,Clark County,"Clark County, Idaho",886,845,39.0,0.04401805869074492
Idaho,Clearwater County,"Clearwater County, Idaho",8554,8756,323.0,0.037760112228197334
Idaho,Custer County,"Custer County, Idaho",4059,4315,103.0,0.02537570830253757
Idaho,Elmore County,"Elmore County, Idaho",25826,27511,250.0,0.009680167273290482
Idaho,Franklin County,"Franklin County, Idaho",12955,13876,692.0,0.053415669625627174
Idaho,Fremont County,"Fremont County, Idaho",12812,13099,248.0,0.01935685295035904
Idaho,Gem County,"Gem County, Idaho",16685,18112,221.0,0.013245430026970333
Idaho,Gooding County,"Gooding County, Idaho",15188,15179,-563.0,-0.03706873847774559
Idaho,Idaho County,"Idaho County, Idaho",16301,16667,156.0,0.009569965032820073
Idaho,Jefferson County,"Jefferson County, Idaho",27127,29871,269.0,0.009916319534043573
Idaho,Jerome County,"Jerome County, Idaho",22971,24412,702.0,0.030560271646859084
Idaho,Kootenai County,"Kootenai County, Idaho",149367,165697,303.0,0.002028560525417261
Idaho,Latah County,"Latah County, Idaho",38796,40108,682.0,0.017579131869264873
Idaho,Lemhi County,"Lemhi County, Idaho",7737,8027,323.0,0.04174744733100685
Idaho,Lewis County,"Lewis County, Idaho",3791,3838,-314.0,-0.08282774993405434
Idaho,Lincoln County,"Lincoln County, Idaho",5307,5366,-464.0,-0.08743169398907104
Idaho,Madison County,"Madison County, Idaho",37989,39907,-800.0,-0.021058727526389216
Idaho,Minidoka County,"Minidoka County, Idaho",20430,21039,466.0,0.022809593734703867
Idaho,Nez Perce County,"Nez Perce County, Idaho",39995,40408,-791.0,-0.019777472184023002
Idaho,Oneida County,"Oneida County, Idaho",4248,4531,84.0,0.01977401129943503
Idaho,Owyhee County,"Owyhee County, Idaho",11288,11823,124.0,0.010985116938341602
Idaho,Payette County,"Payette County, Idaho",22790,23951,-344.0,-0.01509433962264151
Idaho,Power County,"Power County, Idaho",7687,7681,64.0,0.008325744763887082
Idaho,Shoshone County,"Shoshone County, Idaho",12440,12882,567.0,0.04557877813504823
Idaho,Teton County,"Teton County, Idaho",10725,12142,703.0,0.06554778554778555
Idaho,Twin Falls County,"Twin Falls County, Idaho",82245,86878,1308.0,0.01590370235272661
Idaho,Valley County,"Valley County, Idaho",10043,11392,14.0,0.0013940057751667828
Idaho,Washington County,"Washington County, Idaho",9891,10194,331.0,0.03346476594884238
Illinois,Adams County,"Adams County, Illinois",66835,65435,-1274.0,-0.019061868781327148
Illinois,Alexander County,"Alexander County, Illinois",6762,5761,-551.0,-0.08148476782017154
Illinois,Bond County,"Bond County, Illinois",16686,16426,-54.0,-0.003236245954692557
Illinois,Boone County,"Boone County, Illinois",53579,53544,104.0,0.0019410589969950914
Illinois,Brown County,"Brown County, Illinois",6753,6578,393.0,0.05819635717458907
Illinois,Bureau County,"Bureau County, Illinois",33491,32628,57.0,0.0017019497775521782
Illinois,Calhoun County,"Calhoun County, Illinois",4860,4739,-107.0,-0.022016460905349793
Illinois,Carroll County,"Carroll County, Illinois",14642,14305,143.0,0.009766425351727906
Illinois,Cass County,"Cass County, Illinois",12843,12147,-261.0,-0.020322354590049056
Illinois,Champaign County,"Champaign County, Illinois",209382,209689,6213.0,0.029673037796945297
Illinois,Christian County,"Christian County, Illinois",33463,32304,-480.0,-0.014344201057884828
Illinois,Clark County,"Clark County, Illinois",15868,15441,-639.0,-0.04026972523317368
Illinois,Clay County,"Clay County, Illinois",13401,13184,183.0,0.0136556973360197
Illinois,Clinton County,"Clinton County, Illinois",37665,37562,-395.0,-0.010487189698659232
Illinois,Coles County,"Coles County, Illinois",52179,50621,2324.0,0.04453899078173212
Illinois,Cook County,"Cook County, Illinois",5244088,5150233,-87102.0,-0.016609561090508016
Illinois,Crawford County,"Crawford County, Illinois",19255,18667,526.0,0.02731757984938977
Illinois,Cumberland County,"Cumberland County, Illinois",10860,10766,-287.0,-0.026427255985267035
Illinois,DeKalb County,"DeKalb County, Illinois",104195,104897,3089.0,0.02964633619655454
Illinois,De Witt County,"De Witt County, Illinois",16184,15638,-677.0,-0.041831438457736035
Illinois,Douglas County,"Douglas County, Illinois",19835,19465,-566.0,-0.02853541719183262
Illinois,DuPage County,"DuPage County, Illinois",933609,922921,-13027.0,-0.013953378769913314
Illinois,Edgar County,"Edgar County, Illinois",17603,17161,-134.0,-0.007612338805885361
Illinois,Edwards County,"Edwards County, Illinois",6511,6395,-10.0,-0.001535862386730149
Illinois,Effingham County,"Effingham County, Illinois",34202,34008,-149.0,-0.0043564703818490145
Illinois,Fayette County,"Fayette County, Illinois",22036,21336,470.0,0.021328734797603922
Illinois,Ford County,"Ford County, Illinois",13529,12961,166.0,0.012269938650306749
Illinois,Franklin County,"Franklin County, Illinois",39383,38469,672.0,0.017063199857806667
Illinois,Fulton County,"Fulton County, Illinois",35713,34340,104.0,0.002912104835774088
Illinois,Gallatin County,"Gallatin County, Illinois",5221,4828,-205.0,-0.03926450871480559
Illinois,Greene County,"Greene County, Illinois",13345,12969,98.0,0.007343574372424129
Illinois,Grundy County,"Grundy County, Illinois",50363,51054,-1174.0,-0.023310763854416935
Illinois,Hamilton County,"Hamilton County, Illinois",8248,8116,-79.0,-0.00957807953443259
Illinois,Hancock County,"Hancock County, Illinois",18216,17708,-518.0,-0.028436539306104524
Illinois,Hardin County,"Hardin County, Illinois",4067,3821,76.0,0.01868699286943693
Illinois,Henderson County,"Henderson County, Illinois",6997,6646,34.0,0.004859225382306703
Illinois,Henry County,"Henry County, Illinois",49638,48913,-474.0,-0.009549135742777711
Illinois,Iroquois County,"Iroquois County, Illinois",28522,27114,66.0,0.002314003225580254
Illinois,Jackson County,"Jackson County, Illinois",59214,56750,1902.0,0.032120782247441484
Illinois,Jasper County,"Jasper County, Illinois",9630,9610,-338.0,-0.03509865005192108
Illinois,Jefferson County,"Jefferson County, Illinois",38272,37684,249.0,0.006506061872909699
Illinois,Jersey County,"Jersey County, Illinois",22260,21773,161.0,0.007232704402515723
Illinois,Jo Daviess County,"Jo Daviess County, Illinois",22066,21235,-187.0,-0.00847457627118644
Illinois,Johnson County,"Johnson County, Illinois",12777,12417,297.0,0.02324489316741019
Illinois,Kane County,"Kane County, Illinois",528760,532403,-1894.0,-0.003581965352901127
Illinois,Kankakee County,"Kankakee County, Illinois",111750,109862,-2119.0,-0.018961968680089484
Illinois,Kendall County,"Kendall County, Illinois",122878,128990,-880.0,-0.0071615748954247304
Illinois,Knox County,"Knox County, Illinois",51370,49699,-516.0,-0.010044773213938096
Illinois,Lake County,"Lake County, Illinois",704611,696535,-5377.0,-0.007631161023600256
Illinois,LaSalle County,"LaSalle County, Illinois",111019,108669,-1018.0,-0.009169601599726173
Illinois,Lawrence County,"Lawrence County, Illinois",16465,15678,527.0,0.03200728818706347
Illinois,Lee County,"Lee County, Illinois",34521,34096,562.0,0.0162799455403957
Illinois,Livingston County,"Livingston County, Illinois",36605,35648,-910.0,-0.024859991804398306
Illinois,Logan County,"Logan County, Illinois",29284,28618,944.0,0.03223603332878022
Illinois,McDonough County,"McDonough County, Illinois",31449,29682,729.0,0.02318038729371363
Illinois,McHenry County,"McHenry County, Illinois",307572,307774,-3475.0,-0.011298167583525158
Illinois,McLean County,"McLean County, Illinois",173141,171517,907.0,0.005238505033469831
Illinois,Macon County,"Macon County, Illinois",107343,104009,-146.0,-0.0013601259513894711
Illinois,Macoupin County,"Macoupin County, Illinois",45876,44926,-604.0,-0.013165925538407883
Illinois,Madison County,"Madison County, Illinois",265996,262966,2020.0,0.007594099159385855
Illinois,Marion County,"Marion County, Illinois",38359,37205,-848.0,-0.022106937094293386
Illinois,Marshall County,"Marshall County, Illinois",11925,11438,35.0,0.0029350104821802936
Illinois,Mason County,"Mason County, Illinois",13863,13359,-87.0,-0.006275697900887254
Illinois,Massac County,"Massac County, Illinois",14567,13772,-881.0,-0.060479165236493444
Illinois,Menard County,"Menard County, Illinois",12356,12196,-127.0,-0.010278407251537714
Illinois,Mercer County,"Mercer County, Illinois",15746,15437,-18.0,-0.001143147466023117
Illinois,Monroe County,"Monroe County, Illinois",33739,34637,-376.0,-0.011144372980823379
Illinois,Montgomery County,"Montgomery County, Illinois",29192,28414,-184.0,-0.006303096738832557
Illinois,Morgan County,"Morgan County, Illinois",34673,33658,461.0,0.013295647910477893
Illinois,Moultrie County,"Moultrie County, Illinois",14743,14501,-38.0,-0.002577494404123991
Illinois,Ogle County,"Ogle County, Illinois",51559,50643,-949.0,-0.018406097868461375
Illinois,Peoria County,"Peoria County, Illinois",186481,179179,-5538.0,-0.029697395445112372
Illinois,Perry County,"Perry County, Illinois",21521,20916,-338.0,-0.01570558988894568
Illinois,Piatt County,"Piatt County, Illinois",16350,16344,-398.0,-0.02434250764525994
Illinois,Pike County,"Pike County, Illinois",15795,15561,-210.0,-0.013295346628679962
Illinois,Pope County,"Pope County, Illinois",4291,4177,143.0,0.03332556513633186
Illinois,Pulaski County,"Pulaski County, Illinois",5657,5335,-143.0,-0.025278416121619234
Illinois,Putnam County,"Putnam County, Illinois",5727,5739,8.0,0.001396891915488039
Illinois,Randolph County,"Randolph County, Illinois",32806,31782,30.0,0.0009144668658172285
Illinois,Richland County,"Richland County, Illinois",15957,15513,-406.0,-0.025443379081280942
Illinois,Rock Island County,"Rock Island County, Illinois",146094,141879,-119.0,-0.0008145440606732652
Illinois,St. Clair County,"St. Clair County, Illinois",264858,259686,-2533.0,-0.009563615220231218
Illinois,Saline County,"Saline County, Illinois",24495,23491,-851.0,-0.03474178403755868
Illinois,Sangamon County,"Sangamon County, Illinois",198898,194672,-1014.0,-0.005098090478536738
Illinois,Schuyler County,"Schuyler County, Illinois",7151,6768,188.0,0.026290029366522166
Illinois,Scott County,"Scott County, Illinois",5110,4951,-11.0,-0.002152641878669276
Illinois,Shelby County,"Shelby County, Illinois",21819,21634,-150.0,-0.0068747421971676066
Illinois,Stark County,"Stark County, Illinois",5505,5342,-49.0,-0.008900999091734786
Illinois,Stephenson County,"Stephenson County, Illinois",45668,44498,-622.0,-0.01362004029079443
Illinois,Tazewell County,"Tazewell County, Illinois",134302,131803,-297.0,-0.002211433932480529
Illinois,Union County,"Union County, Illinois",17284,16653,-364.0,-0.021059939828743348
Illinois,Vermilion County,"Vermilion County, Illinois",79170,75758,-1223.0,-0.015447770620184414
Illinois,Wabash County,"Wabash County, Illinois",11624,11520,-344.0,-0.029593943565037854
Illinois,Warren County,"Warren County, Illinois",17455,16844,95.0,0.005442566599828129
Illinois,Washington County,"Washington County, Illinois",14262,13887,163.0,0.011428972093675502
Illinois,Wayne County,"Wayne County, Illinois",16517,16215,-102.0,-0.006175455591209057
Illinois,White County,"White County, Illinois",14204,13537,-271.0,-0.019079132638693326
Illinois,Whiteside County,"Whiteside County, Illinois",56919,55175,-90.0,-0.0015811943287830075
Illinois,Will County,"Will County, Illinois",685877,690743,-5158.0,-0.0075202988290903475
Illinois,Williamson County,"Williamson County, Illinois",67428,66597,46.0,0.0006822091712641633
Illinois,Winnebago County,"Winnebago County, Illinois",287148,282572,-398.0,-0.0013860448270578238
Illinois,Woodford County,"Woodford County, Illinois",38930,38459,64.0,0.0016439763678397124
Indiana,Adams County,"Adams County, Indiana",34945,35777,-1513.0,-0.043296608956932325
Indiana,Allen County,"Allen County, Indiana",367362,379299,-1489.0,-0.004053222706757912
Indiana,Bartholomew County,"Bartholomew County, Indiana",81458,83779,-171.0,-0.0020992413268187287
Indiana,Benton County,"Benton County, Indiana",8693,8748,-134.0,-0.015414701483952605
Indiana,Blackford County,"Blackford County, Indiana",12242,11758,-157.0,-0.012824701846103579
Indiana,Boone County,"Boone County, Indiana",63033,67843,790.0,0.012533117573334602
Indiana,Brown County,"Brown County, Indiana",14994,15092,-96.0,-0.006402561024409764
Indiana,Carroll County,"Carroll County, Indiana",19887,20257,-548.0,-0.02755568964650274
Indiana,Cass County,"Cass County, Indiana",38081,37689,-20.0,-0.0005251962921141777
Indiana,Clark County,"Clark County, Indiana",114819,118302,-823.0,-0.007167803238140029
Indiana,Clay County,"Clay County, Indiana",26395,26225,-713.0,-0.027012691797688955
Indiana,Clinton County,"Clinton County, Indiana",32373,32399,-330.0,-0.010193679918450561
Indiana,Crawford County,"Crawford County, Indiana",10555,10577,-121.0,-0.011463761250592137
Indiana,Daviess County,"Daviess County, Indiana",32823,33351,-66.0,-0.0020107851201901106
Indiana,Dearborn County,"Dearborn County, Indiana",49455,49458,121.0,0.0024466686887069052
Indiana,Decatur County,"Decatur County, Indiana",26339,26559,-90.0,-0.003416986218155587
Indiana,DeKalb County,"DeKalb County, Indiana",42496,43475,-576.0,-0.01355421686746988
Indiana,Delaware County,"Delaware County, Indiana",115767,114135,3670.0,0.03170160753928149
Indiana,Dubois County,"Dubois County, Indiana",42317,42736,-1185.0,-0.028002930264432735
Indiana,Elkhart County,"Elkhart County, Indiana",202995,206341,-2672.0,-0.013162885785364172
Indiana,Fayette County,"Fayette County, Indiana",23388,23102,-365.0,-0.015606293825893621
Indiana,Floyd County,"Floyd County, Indiana",76505,78522,-1024.0,-0.013384746095026469
Indiana,Fountain County,"Fountain County, Indiana",16537,16346,-102.0,-0.006167986938380601
Indiana,Franklin County,"Franklin County, Indiana",22940,22758,64.0,0.002789886660854403
Indiana,Fulton County,"Fulton County, Indiana",20340,19974,-1087.0,-0.05344149459193707
Indiana,Gibson County,"Gibson County, Indiana",33644,33659,-695.0,-0.020657472357626917
Indiana,Grant County,"Grant County, Indiana",67479,65769,-542.0,-0.008032128514056224
Indiana,Greene County,"Greene County, Indiana",32416,31922,-619.0,-0.019095508390918066
Indiana,Hamilton County,"Hamilton County, Indiana",308428,338011,2816.0,0.00913016976409405
Indiana,Hancock County,"Hancock County, Indiana",72413,78168,-107.0,-0.0014776352312430088
Indiana,Harrison County,"Harrison County, Indiana",39532,40515,241.0,0.006096327026206617
Indiana,Hendricks County,"Hendricks County, Indiana",157776,170311,2239.0,0.014191004969070074
Indiana,Henry County,"Henry County, Indiana",48655,47972,-305.0,-0.006268626040489158
Indiana,Howard County,"Howard County, Indiana",82338,82544,-43.0,-0.0005222376059656538
Indiana,Huntington County,"Huntington County, Indiana",36518,36520,397.0,0.010871351114518868
Indiana,Jackson County,"Jackson County, Indiana",43875,44231,-273.0,-0.006222222222222222
Indiana,Jasper County,"Jasper County, Indiana",33478,33562,-235.0,-0.007019535217157536
Indiana,Jay County,"Jay County, Indiana",21137,20436,-386.0,-0.018261815773288545
Indiana,Jefferson County,"Jefferson County, Indiana",32297,32308,451.0,0.013964145276651083
Indiana,Jennings County,"Jennings County, Indiana",27834,27735,-130.0,-0.004670546813249982
Indiana,Johnson County,"Johnson County, Indiana",148962,158167,1682.0,0.01129147030786375
Indiana,Knox County,"Knox County, Indiana",37760,36594,1114.0,0.029502118644067796
Indiana,Kosciusko County,"Kosciusko County, Indiana",78547,79456,751.0,0.009561154468025513
Indiana,LaGrange County,"LaGrange County, Indiana",38616,39614,150.0,0.003884400248601616
Indiana,Lake County,"Lake County, Indiana",487908,485493,-395.0,-0.0008095788550300467
Indiana,LaPorte County,"LaPorte County, Indiana",110835,109888,2020.0,0.018225289845265485
Indiana,Lawrence County,"Lawrence County, Indiana",45568,45370,-986.0,-0.02163799157303371
Indiana,Madison County,"Madison County, Indiana",129388,129569,-207.0,-0.0015998392432064797
Indiana,Marion County,"Marion County, Indiana",939843,964582,-14028.0,-0.01492589719772345
Indiana,Marshall County,"Marshall County, Indiana",46733,46258,-347.0,-0.007425159951212205
Indiana,Martin County,"Martin County, Indiana",10216,10255,21.0,0.0020555990602975725
Indiana,Miami County,"Miami County, Indiana",36004,35516,229.0,0.0063604043995111655
Indiana,Monroe County,"Monroe County, Indiana",144247,148431,8445.0,0.05854541168967119
Indiana,Montgomery County,"Montgomery County, Indiana",38243,38338,679.0,0.017754883246607223
Indiana,Morgan County,"Morgan County, Indiana",69559,70489,410.0,0.005894276800989089
Indiana,Newton County,"Newton County, Indiana",13971,13984,254.0,0.01818051678476845
Indiana,Noble County,"Noble County, Indiana",47515,47744,90.0,0.0018941386930443017
Indiana,Ohio County,"Ohio County, Indiana",5877,5875,54.0,0.009188361408882083
Indiana,Orange County,"Orange County, Indiana",19634,19646,-123.0,-0.006264642966282979
Indiana,Owen County,"Owen County, Indiana",20826,20799,-10.0,-0.0004801690194948622
Indiana,Parke County,"Parke County, Indiana",16970,16937,615.0,0.03624042427813789
Indiana,Perry County,"Perry County, Indiana",19310,19169,225.0,0.011651993785603314
Indiana,Pike County,"Pike County, Indiana",12407,12389,-36.0,-0.002901587813331184
Indiana,Porter County,"Porter County, Indiana",167334,170389,503.0,0.003005964119664862
Indiana,Posey County,"Posey County, Indiana",25613,25427,-65.0,-0.0025377737867489166
Indiana,Pulaski County,"Pulaski County, Indiana",12804,12353,103.0,0.008044361137144643
Indiana,Putnam County,"Putnam County, Indiana",37382,37576,624.0,0.01669252581456316
Indiana,Randolph County,"Randolph County, Indiana",25138,24665,-436.0,-0.017344259686530354
Indiana,Ripley County,"Ripley County, Indiana",28372,28324,59.0,0.002079515014803327
Indiana,Rush County,"Rush County, Indiana",16708,16581,118.0,0.007062485037107972
Indiana,St. Joseph County,"St. Joseph County, Indiana",268361,271826,554.0,0.002064383423820898
Indiana,Scott County,"Scott County, Indiana",23660,23873,106.0,0.004480135249366019
Indiana,Shelby County,"Shelby County, Indiana",44341,44729,-372.0,-0.008389526623215534
Indiana,Spencer County,"Spencer County, Indiana",20640,20277,-514.0,-0.0249031007751938
Indiana,Starke County,"Starke County, Indiana",22860,22995,-271.0,-0.011854768153980752
Indiana,Steuben County,"Steuben County, Indiana",34469,34594,245.0,0.007107836026574603
Indiana,Sullivan County,"Sullivan County, Indiana",20874,20669,662.0,0.03171409408833956
Indiana,Switzerland County,"Switzerland County, Indiana",10614,10751,-180.0,-0.016958733747880157
Indiana,Tippecanoe County,"Tippecanoe County, Indiana",186723,195732,6073.0,0.032524113258677295
Indiana,Tipton County,"Tipton County, Indiana",15249,15148,-167.0,-0.010951537805757755
Indiana,Union County,"Union County, Indiana",7185,7054,457.0,0.06360473208072373
Indiana,Vanderburgh County,"Vanderburgh County, Indiana",181504,181451,3599.0,0.019828764104372357
Indiana,Vermillion County,"Vermillion County, Indiana",15593,15498,-196.0,-0.012569742833322645
Indiana,Vigo County,"Vigo County, Indiana",107533,107038,3238.0,0.030111686645029896
Indiana,Wabash County,"Wabash County, Indiana",31860,30996,-262.0,-0.008223477715003138
Indiana,Warren County,"Warren County, Indiana",8270,8265,-415.0,-0.0501813784764208
Indiana,Warrick County,"Warrick County, Indiana",61522,62998,-341.0,-0.005542732680992165
Indiana,Washington County,"Washington County, Indiana",27774,28036,-29.0,-0.0010441420033124504
Indiana,Wayne County,"Wayne County, Indiana",66972,65884,219.0,0.00327002329331661
Indiana,Wells County,"Wells County, Indiana",27851,28296,563.0,0.020214714013859467
Indiana,White County,"White County, Indiana",24274,24102,367.0,0.01511905742770042
Indiana,Whitley County,"Whitley County, Indiana",33444,33964,-167.0,-0.004993421839492884
Iowa,Adair County,"Adair County, Iowa",7145,7152,-408.0,-0.057102869139258224
Iowa,Adams County,"Adams County, Iowa",3754,3602,-209.0,-0.05567394778902504
Iowa,Allamakee County,"Allamakee County, Iowa",13874,13687,-377.0,-0.02717312959492576
Iowa,Appanoose County,"Appanoose County, Iowa",12577,12426,-332.0,-0.026397392064880336
Iowa,Audubon County,"Audubon County, Iowa",5711,5496,-203.0,-0.03554543862721064
Iowa,Benton County,"Benton County, Iowa",25608,25645,112.0,0.0043736332396126214
Iowa,Black Hawk County,"Black Hawk County, Iowa",133701,131228,-277.0,-0.0020717870472172985
Iowa,Boone County,"Boone County, Iowa",26443,26234,-697.0,-0.02635858261165526
Iowa,Bremer County,"Bremer County, Iowa",24746,25062,289.0,0.011678655136183626
Iowa,Buchanan County,"Buchanan County, Iowa",21105,21175,68.0,0.0032219853115375502
Iowa,Buena Vista County,"Buena Vista County, Iowa",20374,19620,-35.0,-0.0017178757239619123
Iowa,Butler County,"Butler County, Iowa",14881,14439,-522.0,-0.0350782877494792
Iowa,Calhoun County,"Calhoun County, Iowa",9801,9668,-151.0,-0.015406591164166922
Iowa,Carroll County,"Carroll County, Iowa",20423,20165,-644.0,-0.031533075454144834
Iowa,Cass County,"Cass County, Iowa",13351,12836,-347.0,-0.0259905625046813
Iowa,Cedar County,"Cedar County, Iowa",18254,18627,-142.0,-0.0077791169058836415
Iowa,Cerro Gordo County,"Cerro Gordo County, Iowa",42983,42450,88.0,0.002047321033897122
Iowa,Cherokee County,"Cherokee County, Iowa",11483,11235,143.0,0.012453191674649481
Iowa,Chickasaw County,"Chickasaw County, Iowa",12151,11933,-644.0,-0.05299975310674018
Iowa,Clarke County,"Clarke County, Iowa",9219,9395,171.0,0.01854864952814839
Iowa,Clay County,"Clay County, Iowa",16498,16016,543.0,0.03291308037337859
Iowa,Clayton County,"Clayton County, Iowa",17726,17549,-119.0,-0.006713302493512355
Iowa,Clinton County,"Clinton County, Iowa",47558,46429,28.0,0.0005887547836326171
Iowa,Crawford County,"Crawford County, Iowa",17082,16820,-64.0,-0.003746633883620185
Iowa,Dallas County,"Dallas County, Iowa",80631,93453,2224.0,0.027582443477074576
Iowa,Davis County,"Davis County, Iowa",8777,9000,-277.0,-0.03155975845961034
Iowa,Decatur County,"Decatur County, Iowa",8137,7870,-131.0,-0.016099299496128795
Iowa,Delaware County,"Delaware County, Iowa",17393,17011,-263.0,-0.01512102569999425
Iowa,Des Moines County,"Des Moines County, Iowa",39874,38967,377.0,0.009454782565080002
Iowa,Dickinson County,"Dickinson County, Iowa",17004,17258,-341.0,-0.020054104916490238
Iowa,Dubuque County,"Dubuque County, Iowa",96850,97311,1315.0,0.01357769747031492
Iowa,Emmet County,"Emmet County, Iowa",9702,9208,274.0,0.0282415996701711
Iowa,Fayette County,"Fayette County, Iowa",20142,19650,-103.0,-0.0051136927812531026
Iowa,Floyd County,"Floyd County, Iowa",15910,15642,-338.0,-0.021244500314267757
Iowa,Franklin County,"Franklin County, Iowa",10319,10070,-38.0,-0.003682527376683787
Iowa,Fremont County,"Fremont County, Iowa",6912,6960,-169.0,-0.024450231481481483
Iowa,Greene County,"Greene County, Iowa",8944,8888,239.0,0.026721824686940968
Iowa,Grundy County,"Grundy County, Iowa",12405,12232,-103.0,-0.0083031035872632
Iowa,Guthrie County,"Guthrie County, Iowa",10649,10689,26.0,0.0024415438069302284
Iowa,Hamilton County,"Hamilton County, Iowa",15218,14773,-416.0,-0.02733604941516625
Iowa,Hancock County,"Hancock County, Iowa",11028,10630,-75.0,-0.006800870511425462
Iowa,Hardin County,"Hardin County, Iowa",17253,16846,272.0,0.015765374137831103
Iowa,Harrison County,"Harrison County, Iowa",14139,14049,-220.0,-0.015559799137138411
Iowa,Henry County,"Henry County, Iowa",19843,19954,119.0,0.005997077054880814
Iowa,Howard County,"Howard County, Iowa",9313,9158,-11.0,-0.0011811446365295824
Iowa,Humboldt County,"Humboldt County, Iowa",9556,9558,-196.0,-0.020510673922143157
Iowa,Ida County,"Ida County, Iowa",6968,6860,77.0,0.011050516647531573
Iowa,Iowa County,"Iowa County, Iowa",16282,16184,20.0,0.0012283503255128363
Iowa,Jackson County,"Jackson County, Iowa",19366,19439,34.0,0.0017556542393886193
Iowa,Jasper County,"Jasper County, Iowa",36750,37185,553.0,0.015047619047619048
Iowa,Jefferson County,"Jefferson County, Iowa",17906,18295,-602.0,-0.033620015637216574
Iowa,Johnson County,"Johnson County, Iowa",144943,151140,1164.0,0.008030743119709126
Iowa,Jones County,"Jones County, Iowa",20433,20681,-453.0,-0.022170019086771398
Iowa,Keokuk County,"Keokuk County, Iowa",10171,10246,29.0,0.002851243732179727
Iowa,Kossuth County,"Kossuth County, Iowa",15158,14813,-39.0,-0.002572898799313894
Iowa,Lee County,"Lee County, Iowa",34894,33657,-153.0,-0.004384707972717373
Iowa,Linn County,"Linn County, Iowa",220271,226706,1045.0,0.004744156062305069
Iowa,Louisa County,"Louisa County, Iowa",11285,11035,29.0,0.0025697828976517503
Iowa,Lucas County,"Lucas County, Iowa",8610,8600,118.0,0.013704994192799072
Iowa,Lyon County,"Lyon County, Iowa",11747,11755,-233.0,-0.019834851451434408
Iowa,Madison County,"Madison County, Iowa",15720,16338,-201.0,-0.012786259541984733
Iowa,Mahaska County,"Mahaska County, Iowa",22312,22095,-519.0,-0.0232610254571531
Iowa,Marion County,"Marion County, Iowa",33109,33253,582.0,0.0175783019722734
Iowa,Marshall County,"Marshall County, Iowa",40352,39369,-173.0,-0.004287272006344172
Iowa,Mills County,"Mills County, Iowa",14882,15109,368.0,0.024727859158715226
Iowa,Mitchell County,"Mitchell County, Iowa",10676,10586,-70.0,-0.006556762832521544
Iowa,Monona County,"Monona County, Iowa",8866,8615,-79.0,-0.008910444394315362
Iowa,Monroe County,"Monroe County, Iowa",7924,7707,-211.0,-0.02662796567390207
Iowa,Montgomery County,"Montgomery County, Iowa",10149,9917,57.0,0.005616316878510198
Iowa,Muscatine County,"Muscatine County, Iowa",43068,42664,-1740.0,-0.040401225968236275
Iowa,O'Brien County,"O'Brien County, Iowa",13926,13753,207.0,0.014864282636794485
Iowa,Osceola County,"Osceola County, Iowa",6160,5958,-324.0,-0.052597402597402594
Iowa,Page County,"Page County, Iowa",15462,15107,-327.0,-0.021148622429181217
Iowa,Palo Alto County,"Palo Alto County, Iowa",9140,8886,-394.0,-0.04310722100656455
Iowa,Plymouth County,"Plymouth County, Iowa",24899,25177,-90.0,-0.0036146029961042613
Iowa,Pocahontas County,"Pocahontas County, Iowa",6967,6619,-54.0,-0.00775082531936271
Iowa,Polk County,"Polk County, Iowa",467304,490161,4104.0,0.008782291613168302
Iowa,Pottawattamie County,"Pottawattamie County, Iowa",93563,93206,-819.0,-0.008753460235349444
Iowa,Poweshiek County,"Poweshiek County, Iowa",18358,18504,511.0,0.02783527617387515
